No,名称,よみ,郵便番号,住所,緯度,経度,電話番号,FAX番号,E-mail,URL
19,中央台市民サービスセンター,ちゅうおうだいしみんさーびすせんたー,9708044,いわき市中央台飯野四丁目5-1,37.01606771,140.9202737,0246460400,0246286805,chuodai@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000003079/index.html
20,泉市民サービスセンター,いずみしみんさーびすせんたー,9718185,いわき市泉町四丁目13-11,36.9517309,140.8537281,0246567244,0246567743,izumi@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000002599/index.html
21,中央公民館,ちゅうおうこうみんかん,9708026,いわき市平字堂根1-4,37.05254204,140.8897126,0246225431,0246225435,chuo-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004472/index.html
22,消防本部,しょうぼうほんぶ,9708026,いわき市平字正内町22 ,37.05435941,140.9001195,0246220123,0246239704,,http://www.city.iwaki.lg.jp/www/contents/1001000002473/index.html
23,総合保健福祉センター,そうごうほけんふくしせんたー,9738408,いわき市内郷高坂町四方木田191,37.04394266,140.8636576,0246278555,0246278600,,http://www.city.iwaki.lg.jp/www/contents/1001000000495/index.html
24,市役所東分庁舎,しやくしょひがしぶんちょうしゃ,9708026,いわき市平字堂根町4-8,37.05131973,140.8898789,0246221111,0246223662,,http://www.city.iwaki.lg.jp/www/contents/1001000001636/index.html
25,小名浜公民館,おなはまこうみんかん,9718166,いわき市小名浜愛宕上7-2,36.95410583,140.894562,0246541890,0246541895,onahama-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004319/index.html
26,豊間公民館,とよまこうみんかん,9700224,いわき市平豊間字洞120,36.99447891,140.9724694,0246392938,0246392938,toyoma-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004296/index.html
27,高久公民館,たかくこうみんかん,9700221,いわき市平下高久字水門100,37.03128479,140.9578621,0246392009,0246392009,takaku-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004326/index.html
28,夏井公民館,なついこうみんかん,9700107,いわき市平荒田目字高原16,37.054749,140.9506872,0246342353,0246342353,natsui-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004311/index.html
29,草野公民館,くさのこうみんかん,9700112,いわき市平泉崎字向原28,37.07533415,140.9505638,0246342036,0246342036,kusano-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1455242082119/index.html
30,赤井公民館,あかいこうみんかん,9793131,いわき市平赤井字田町24-5,37.08626867,140.8641994,0246237755,0246237755,akai-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004412/index.html
31,飯野公民館,いいのこうみんかん,9708032,いわき市平下荒川字中剃47-1,37.04037161,140.9036869,0246237748,0246237748,iino-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004358/index.html
32,平窪公民館,ひらくぼこうみんかん,9708008,いわき市平中平窪細田町1-1,37.08549838,140.8768755,0246239483,0246239483,hirakubo-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004556/index.html
33,神谷公民館,かべやこうみんかん,9708021,いわき市平中神谷字籠田78-1,37.06673949,140.9312654,0246343030,0246343030,kabeya-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004376/index.html
34,渡辺公民館,わたなべこうみんかん,9728334,いわき市渡辺町田部字深町39-1,36.95818675,140.8294272,0246966212,0246966212,watanabe-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004507/index.html
35,鹿島公民館,かしまこうみんかん,9718141,いわき市鹿島町走熊字鬼越83-1,36.994164,140.9104326,0246292250,0246292250,kashima-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000005368/index.html
36,植田公民館,うえだこうみんかん,9748261,いわき市植田町南町一丁目2-2,36.91474713,140.7982761,0246633467,0246633468,ueda-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1455674971829/index.html
37,錦公民館,にしきこうみんかん,9748232,いわき市錦町中迎一丁目12-1,36.90630374,140.7930163,0246622732,0246622732,nishiki-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004304/index.html
38,勿来公民館,なこそこうみんかん,9790141,いわき市勿来町窪田小島11-1,36.88958363,140.761739,0246647245,0246647245,nakoso-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004566/index.html
39,山田公民館,やまだこうみんかん,9748241,いわき市山田町林崎前30,36.92937984,140.7734656,0246622733,0246622733,yamada-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004336/index.html
40,川部公民館,かわべこうみんかん,9790153,いわき市川部町川原80,36.90474879,140.7302821,0246647645,0246647645,kawabe-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004424/index.html
41,常磐公民館,じょうばんこうみんかん,9728318,いわき市常磐関船町作田1,37.00134884,140.848766,0246432305,0246432305,joban-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004392/index.html
42,磐崎公民館,いわさきこうみんかん,9728316,いわき市常磐西郷町大夫32-1,36.98654998,140.8537227,0246423015,0246423015,iwasaki-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004403/index.html
43,藤原公民館,ふじわらこうみんかん,9728326,いわき市常磐藤原町大畑81,36.99829633,140.8190417,0246422969,0246422969,fujiwara-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004411/index.html
44,内郷公民館,うちごうこうみんかん,9738403,いわき市内郷綴町榎下40-1,37.03634648,140.857805,0246262974,0246262975,uchigo-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004430/index.html
45,四倉公民館,よつくらこうみんかん,9790201,いわき市四倉町字東一丁目50,37.10056035,140.9851456,0246322920,0246328684,yotsukura-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004498/index.html
46,大浦公民館,おおうらこうみんかん,9790206,いわき市四倉町狐塚字小橋89,37.09046874,140.9694412,0246322003,0246322003,oura-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004445/index.html
47,大野公民館,おおのこうみんかん,9790223,いわき市四倉町山田小湊字方札31,37.11328794,140.9346235,0246332722,0246332722,ono-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004433/index.html
48,上遠野公民館,かとおのこうみんかん,9720161,いわき市遠野町上遠野字堀切1-1,37.00974957,140.7448062,0246892059,0246892059,katono-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1455003691376/index.html
49,入遠野公民館,いりとおのこうみんかん,9720251,いわき市遠野町入遠野字前田38-1,37.03516459,140.7083738,0246892059,0246892059,iritono-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004383/index.html
50,小川公民館,おがわこうみんかん,9793124,いわき市小川町上小川字下摩門44-2,37.12837218,140.8564156,0246832168,0246832168,ogawa-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004542/index.html
51,好間公民館,よしまこうみんかん,9701152,いわき市好間町中好間字中川原29-1,37.06335785,140.8570218,0246362050,0246362050,yoshima-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004443/index.html
52,三和公民館,みわこうみんかん,9701372,いわき市三和町下市萱字竹ノ内114-1,37.1427393,140.6876081,0246862204,0246862544,miwa-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004334/index.html
53,田人公民館,たびとこうみんかん,9740152,いわき市田人町旅人字下平石191,36.95246397,140.7046992,0246692226,0246692226,tabito-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004496/index.html
54,川前公民館,かわまえこうみんかん,9793201,いわき市川前町川前字椚立79,37.20567952,140.7572758,0246842003,0246842003,kawamae-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1455507531717/index.html
55,江名公民館,えなこうみんかん,9700311,いわき市江名字藪倉165-1,36.9770502,140.9525195,0246557615,0246557615,ena-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1452051575352/index.html
56,小名浜図書館,おなはまとしょかん,9718166,いわき市小名浜愛宕上7-2,36.95410583,140.894562,0246549257,0246549257,onahama-l@city.iwaki.fukushima.jp,http://library.city.iwaki.fukushima.jp/viewer/info.html?id=243
57,勿来図書館,なこそとしょかん,9748261,いわき市植田町南町一丁目2-2,36.91474713,140.7982761,0246627431,0246771135,nakoso-l@city.iwaki.fukushima.jp,http://library.city.iwaki.fukushima.jp/viewer/info.html?id=242&T_Page=1&T_PageLines=10&R_Order=0
58,常磐図書館,じょうばんとしょかん,9728318,いわき市常磐関船町作町1,37.00134884,140.848766,0246446218,0246446218,joban-l@city.iwaki.fukushima.jp,http://library.city.iwaki.fukushima.jp/viewer/info.html?id=241&T_Page=1&T_PageLines=10&R_Order=0
59,内郷図書館,うちごうとしょかん,9738403,いわき市内郷綴町榎下40-1,37.03634648,140.857805,0246451030,0246451030,uchigo-l@city.iwaki.fukushima.jp,http://library.city.iwaki.fukushima.jp/viewer/info.html?id=240&T_Page=1&T_PageLines=10&R_Order=0
60,四倉図書館,よつくらとしょかん,9790201,いわき市四倉町字東一丁目50,37.10040632,140.9852314,0246325980,0246325980,yotsukura-l@city.iwaki.fukushima.jp,http://library.city.iwaki.fukushima.jp/viewer/info.html?id=239&T_Page=1&T_PageLines=10&R_Order=0
61,市立美術館,しりつびじゅつかん,9708026,いわき市平字堂根町4-4,37.05180994,140.8896294,0246251111,0246251115,kurashinodenshogo@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/artmuseum.html
62,道の駅よつくら港,みちのえきよつくらこう,9790201,いわき市四倉町五丁目218,37.107074,140.994861,0246328075,0246686690,,http://www.429-love.jp/
63,久之浜公民館,ひさのはまこうみんかん,9790333,いわき市久之浜町久之浜字中町32,37.141399,140.997809,0246822165,0246822165,hisanohama-c@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004292/index.html
64,21世紀の森公園グリーンスタジアム,21せいきのもりこうえんぐりーんすたじあむ,9728321,いわき市常磐湯本町上浅貝110-33,37.017219,140.860163,0246430033,,,http://www.iwakicity-park.or.jp/centurypark/
65,21世紀の森公園グリーンフィールド,21せいきのもりこうえんぐりーんふぃーるど,9728321,いわき市常磐湯本町上浅貝110-33,37.017297,140.864376,0246430033,,,http://www.iwakicity-park.or.jp/centurypark/
66,21世紀の森公園屋内多目的広場,21せいきのもりこうえんおくないたもくてきひろば,9728321,いわき市常磐湯本町上浅貝110-33,37.019387,140.861615,0246430033,,,http://www.iwakicity-park.or.jp/centurypark/
67,いわき市勿来勤労青少年ホーム,いわきしなこそきんろうせいしょうねんほーむ,9748211,いわき市金山町朝日台1,36.9289403,140.8200127,0246632879,,nakosokinro@city.iwaki.fukushima.jp,http://www.iwaki-ec.or.jp/nakoso/
68,いわき平競輪場,いわきたいらけいりんじょう,9708036,いわき市平谷川瀬字西作1,37.04532137,140.8915901,0246233751,0246218989,,http://www.tairakeirin.com/
69,いわき市総合観光案内所,いわきしそうごうかんこうあんないじょ,9708026,いわき市平字田町1,37.057919,140.891967,0246230122,0246230122,,http://kankou-iwaki.or.jp/
70,石炭・化石館,せきたんかせきかん,9728321,いわき市常磐湯本町向田3-1,37.01264099,140.848487,0246423155,,,http://www.sekitankasekikan.or.jp/
